Origin,Destination,DepartureDate,ReturnDate,Price,AveragePrice
YVR,YUL,2026-02-08,2026-02-15,209.79,225.45
YVR,YOW,2026-02-18,2026-02-23,223.65,241.23
YVR,YYJ,2026-02-01,2026-02-06,87.07,87.07
YVR,YYC,2026-02-01,2026-02-08,90.48,142.49
YVR,YYZ,2026-02-03,2026-02-09,122.37,206.57
YVR,YQB,2026-02-02,2026-02-07,347.13,543.48
YVR,SEA,2026-02-03,2026-02-10,167.0,287.9
YVR,SFO,2026-02-01,2026-02-07,195.97,328.63
YVR,LAS,2026-02-08,2026-02-13,181.7,266.97
YVR,HND,2026-01-18,2026-01-23,613.95,636.38
YVR,LHR,2026-01-18,2026-01-23,434.41,441.79
YVR,CDG,2026-01-18,2026-01-23,368.32,373.03
YVR,JFK,2026-02-08,2026-02-13,301.4,402.7
YVR,LAX,2026-02-08,2026-02-13,188.0,291.94
YVR,DXB,2026-01-21,2026-01-26,951.93,982.24
YYZ,YUL,2026-02-08,2026-02-15,131.08,215.16
YYZ,YOW,2026-02-08,2026-02-15,123.7,220.33
YYZ,YYJ,2026-02-08,2026-02-15,202.21,317.61
YYZ,YYC,2026-02-03,2026-02-10,157.29,247.07
YYZ,YVR,2026-02-03,2026-02-10,128.33,217.37
YYZ,YQB,2026-02-08,2026-02-14,323.15,471.78
YYZ,SEA,2026-02-08,2026-02-14,201.83,462.39
YYZ,SFO,2026-02-02,2026-02-09,292.75,473.2
YYZ,LAS,2026-02-01,2026-02-06,198.09,247.7
YYZ,HND,2026-01-18,2026-01-23,798.6,810.48
YYZ,LHR,2026-02-01,2026-02-08,434.02,453.81
YYZ,CDG,2026-01-18,2026-01-23,393.77,451.62
YYZ,JFK,2026-02-08,2026-02-13,219.68,282.2
YYZ,LAX,2026-02-09,2026-02-14,276.38,435.54
YYZ,DXB,2026-01-21,2026-01-27,707.02,874.32
YVR,YLW,2026-01-18,2026-01-23,88.51,88.51
SEA,YUL,2026-02-01,2026-02-06,327.64,604.7
SEA,YOW,2026-02-01,2026-02-06,323.65,534.27
SEA,YYJ,2026-02-08,2026-02-13,195.4,399.71
SEA,YYC,2026-02-01,2026-02-06,207.97,398.87
SEA,YYZ,2026-02-08,2026-02-14,234.13,585.68
SEA,YVR,2026-02-08,2026-02-14,186.4,325.58
SEA,YQB,2026-02-08,2026-02-14,556.61,793.51
SEA,SFO,2026-02-08,2026-02-14,100.7,254.22
SEA,LAS,2026-02-07,2026-02-12,57.7,195.36
SEA,HND,2026-02-07,2026-02-14,503.48,608.17